ID;nif;Nombre;Apellido1;Apellido2;cuenta;N__de_afiliacion_a_la_Seguridad_Social;email;departamento
1;12345696-S;ANTONIO;CAMPOS;GALLEGO;acamposg;;acamposg@empresa1.com;1
2;12345698-U;PEPE;CHAVES;CAMPOS;pchavesc;;pchavesc@empresa1.com;1
3;12345693-P;IGNACIO;CHAVES;VARGAS;ichavesv;;ichavesv@empresa1.com;1
4;12345690-M;FRANCISCO;COELLO;ALABAU;fcoelloa;;fcoelloa@empresa1.com;1
5;12345678-A;LUIS;NAVARRO;RUIZ;lnavarror;;lnavarror@empresa1.com;1
6;12345691-N;BASILIO;PUJOL;GOMIS;bpujolg;;bpujolg@empresa1.com;1
7;12345694-Q;LAURA;ALBA;ARIAS;lalbaa;;lalbaa@empresa1.com;2
8;12345683-F;JAVIER;ARIAS;PUJOL;jariasp;;jariasp@empresa1.com;2
9;12345697-T;CLAUDIO;MONCHO;AGUILAR;cmonchoa;;cmonchoa@empresa1.com;2
10;12345702-Y;BASILIO;MONCHO;COELLO;bmonchoc;;bmonchoc@empresa1.com;2
11;12345686-I;JOHANN;AGUILAR;ALBA;jaguilara;;jaguilara@empresa1.com;3
12;12345679-B;SUSANA;ALABAU;SANCHO;salabaus;;salabaus@empresa1.com;3
13;12345705-B;LAURA;ALBA;ALABAU;lalbaal;;lalbaal@empresa1.com;3
14;12345699-V;SARA;ALBA;MONCHO;salbam;;salbam@empresa1.com;3
15;12345701-X;FRANCISCO;CAMPOS;GOMIS;fcamposg;;fcamposg@empresa1.com;3
16;12345706-C;JORGE;CARVALHO;GOMIS;jcarvalhog;;jcarvalhog@empresa1.com;3
17;12345685-H;RODRIGO;GALLEGO;CHAVES;rgallegoc;;rgallegoc@empresa1.com;3
18;12345680-C;PEDRO;GOMIS;ZAMBUJO;pgomisz;;pgomisz@empresa1.com;3
19;12345703-Z;MARIO;JUAN;PUJOL;mjuanp;;mjuanp@empresa1.com;3
20;12345692-O;MARIO;JUAN;VALENCIA;mjuanv;;mjuanv@empresa1.com;3
21;12345684-G;EVA;PELLICER;JUAN;epellicerj;;epellicerj@empresa1.com;3
22;12345689-L;ISABEL;RUIZ;MONCHO;iruizm;;iruizm@empresa1.com;3
23;12345687-J;PEPE;SANCHO;CARVALHO;psanchoc;;psanchoc@empresa1.com;3
24;12345681-D;PIEDAD;VALENCIA;RUIZ;pvalenciar;;pvalenciar@empresa1.com;3
25;12345700-W;ISABEL;CARVALHO;ALABAU;icarvalhoa;;icarvalhoa@empresa1.com;4
26;12345695-R;JORGE;CARVALHO;PELLICER;jcarvalhop;;jcarvalhop@empresa1.com;4
27;12345704-A;IGNACIO;CHAVES;JUAN;ichavesj;;ichavesj@empresa1.com;4
28;12345682-E;MANUEL;VARGAS;COELLO;mvargasc;;mvargasc@empresa1.com;4
29;12345688-K;SARA;ZAMBUJO;CAMPOS;szambujoc;;szambujoc@empresa1.com;4
